county,fips,urbanization,year,naloxone_deployments,survived_estimate,opioid_deaths,ems_reach_ratio,population,deployments_per_100k
Harris,48201,Large Central Metro,2018,756,655,335,2.26,4731145,16.0
Harris,48201,Large Central Metro,2019,830,669,408,2.03,4731145,17.5
Harris,48201,Large Central Metro,2020,941,789,497,1.89,4731145,19.9
Harris,48201,Large Central Metro,2021,838,696,459,1.83,4731145,17.7
Harris,48201,Large Central Metro,2022,1235,1010,549,2.25,4731145,26.1
Dallas,48113,Large Central Metro,2018,429,345,207,2.07,2613539,16.4
Dallas,48113,Large Central Metro,2019,506,436,247,2.05,2613539,19.4
Dallas,48113,Large Central Metro,2020,598,500,256,2.34,2613539,22.9
Dallas,48113,Large Central Metro,2021,759,648,343,2.21,2613539,29.0
Dallas,48113,Large Central Metro,2022,593,512,270,2.2,2613539,22.7
Tarrant,48439,Large Central Metro,2018,371,314,158,2.35,2110640,17.6
Tarrant,48439,Large Central Metro,2019,412,321,199,2.07,2110640,19.5
Tarrant,48439,Large Central Metro,2020,507,425,230,2.2,2110640,24.0
Tarrant,48439,Large Central Metro,2021,480,416,227,2.11,2110640,22.7
Tarrant,48439,Large Central Metro,2022,490,384,229,2.14,2110640,23.2
Bexar,48029,Large Central Metro,2018,284,244,143,1.99,2009324,14.1
Bexar,48029,Large Central Metro,2019,397,328,180,2.21,2009324,19.8
Bexar,48029,Large Central Metro,2020,494,407,245,2.02,2009324,24.6
Bexar,48029,Large Central Metro,2021,454,365,223,2.04,2009324,22.6
Bexar,48029,Large Central Metro,2022,536,440,257,2.09,2009324,26.7
Travis,48453,Large Central Metro,2018,157,132,87,1.8,1290188,12.2
Travis,48453,Large Central Metro,2019,199,159,91,2.19,1290188,15.4
Travis,48453,Large Central Metro,2020,291,244,123,2.37,1290188,22.6
Travis,48453,Large Central Metro,2021,285,236,119,2.39,1290188,22.1
Travis,48453,Large Central Metro,2022,253,198,135,1.87,1290188,19.6
Collin,48085,Large Fringe Metro,2018,74,59,44,1.68,1064465,7.0
Collin,48085,Large Fringe Metro,2019,102,85,55,1.85,1064465,9.6
Collin,48085,Large Fringe Metro,2020,139,120,70,1.99,1064465,13.1
Collin,48085,Large Fringe Metro,2021,141,118,76,1.86,1064465,13.2
Collin,48085,Large Fringe Metro,2022,134,107,77,1.74,1064465,12.6
Hidalgo,48215,Medium Metro,2018,42,34,26,1.62,870781,4.8
Hidalgo,48215,Medium Metro,2019,53,44,35,1.51,870781,6.1
Hidalgo,48215,Medium Metro,2020,55,47,43,1.28,870781,6.3
Hidalgo,48215,Medium Metro,2021,71,56,51,1.39,870781,8.2
Hidalgo,48215,Medium Metro,2022,76,63,48,1.58,870781,8.7
Denton,48121,Large Fringe Metro,2018,75,58,44,1.7,906422,8.3
Denton,48121,Large Fringe Metro,2019,90,73,57,1.58,906422,9.9
Denton,48121,Large Fringe Metro,2020,131,114,66,1.98,906422,14.5
Denton,48121,Large Fringe Metro,2021,112,89,72,1.56,906422,12.4
Denton,48121,Large Fringe Metro,2022,103,83,63,1.63,906422,11.4
Fort Bend,48157,Large Fringe Metro,2018,51,42,31,1.65,822779,6.2
Fort Bend,48157,Large Fringe Metro,2019,72,58,41,1.76,822779,8.8
Fort Bend,48157,Large Fringe Metro,2020,107,84,54,1.98,822779,13.0
Fort Bend,48157,Large Fringe Metro,2021,101,86,58,1.74,822779,12.3
Fort Bend,48157,Large Fringe Metro,2022,104,84,53,1.96,822779,12.6
Montgomery,48339,Large Fringe Metro,2018,96,80,53,1.81,620443,15.5
