county,fips,year,age_group,opioid_deaths
Harris,48201,2018,15-24,22
Harris,48201,2018,25-34,73
Harris,48201,2018,35-44,70
Harris,48201,2018,45-54,55
Harris,48201,2018,55-64,31
Harris,48201,2018,65+,26
Harris,48201,2019,15-24,29
Harris,48201,2019,25-34,105
Harris,48201,2019,35-44,91
Harris,48201,2019,45-54,58
Harris,48201,2019,55-64,40
Harris,48201,2019,65+,23
Harris,48201,2020,15-24,42
Harris,48201,2020,25-34,109
Harris,48201,2020,35-44,133
Harris,48201,2020,45-54,98
Harris,48201,2020,55-64,62
Harris,48201,2020,65+,32
Harris,48201,2021,15-24,34
Harris,48201,2021,25-34,134
Harris,48201,2021,35-44,140
Harris,48201,2021,45-54,84
Harris,48201,2021,55-64,48
Harris,48201,2021,65+,42
Harris,48201,2022,15-24,33
Harris,48201,2022,25-34,145
Harris,48201,2022,35-44,133
Harris,48201,2022,45-54,89
Harris,48201,2022,55-64,56
Harris,48201,2022,65+,37
Dallas,48113,2018,15-24,14
Dallas,48113,2018,25-34,56
Dallas,48113,2018,35-44,40
Dallas,48113,2018,45-54,36
Dallas,48113,2018,55-64,18
Dallas,48113,2018,65+,14
Dallas,48113,2019,15-24,19
Dallas,48113,2019,25-34,66
Dallas,48113,2019,35-44,63
Dallas,48113,2019,45-54,34
Dallas,48113,2019,55-64,21
Dallas,48113,2019,65+,16
Dallas,48113,2020,15-24,27
Dallas,48113,2020,25-34,75
Dallas,48113,2020,35-44,83
Dallas,48113,2020,45-54,45
Dallas,48113,2020,55-64,31
Dallas,48113,2020,65+,21
Dallas,48113,2021,15-24,22
Dallas,48113,2021,25-34,87
Dallas,48113,2021,35-44,84
Dallas,48113,2021,45-54,63
Dallas,48113,2021,55-64,30
Dallas,48113,2021,65+,26
Dallas,48113,2022,15-24,18
Dallas,48113,2022,25-34,77
Dallas,48113,2022,35-44,63
Dallas,48113,2022,45-54,45
Dallas,48113,2022,55-64,29
Dallas,48113,2022,65+,21
Tarrant,48439,2018,15-24,12
Tarrant,48439,2018,25-34,32
Tarrant,48439,2018,35-44,38
Tarrant,48439,2018,45-54,22
Tarrant,48439,2018,55-64,16
Tarrant,48439,2018,65+,11
Tarrant,48439,2019,15-24,15
Tarrant,48439,2019,25-34,51
Tarrant,48439,2019,35-44,55
Tarrant,48439,2019,45-54,43
Tarrant,48439,2019,55-64,27
Tarrant,48439,2019,65+,13
Tarrant,48439,2020,15-24,16
Tarrant,48439,2020,25-34,69
Tarrant,48439,2020,35-44,51
Tarrant,48439,2020,45-54,46
Tarrant,48439,2020,55-64,24
Tarrant,48439,2020,65+,17
Tarrant,48439,2021,15-24,16
Tarrant,48439,2021,25-34,66
Tarrant,48439,2021,35-44,69
Tarrant,48439,2021,45-54,48
Tarrant,48439,2021,55-64,26
Tarrant,48439,2021,65+,20
Tarrant,48439,2022,15-24,19
Tarrant,48439,2022,25-34,59
Tarrant,48439,2022,35-44,69
Tarrant,48439,2022,45-54,41
Tarrant,48439,2022,55-64,29
Tarrant,48439,2022,65+,20
Bexar,48029,2018,15-24,13
Bexar,48029,2018,25-34,50
Bexar,48029,2018,35-44,37
Bexar,48029,2018,45-54,24
Bexar,48029,2018,55-64,16
Bexar,48029,2018,65+,12
Bexar,48029,2019,15-24,17
Bexar,48029,2019,25-34,53
Bexar,48029,2019,35-44,43
Bexar,48029,2019,45-54,31
Bexar,48029,2019,55-64,26
Bexar,48029,2019,65+,14
Bexar,48029,2020,15-24,19
Bexar,48029,2020,25-34,60
Bexar,48029,2020,35-44,65
Bexar,48029,2020,45-54,38
Bexar,48029,2020,55-64,31
Bexar,48029,2020,65+,18
Bexar,48029,2021,15-24,17
Bexar,48029,2021,25-34,56
Bexar,48029,2021,35-44,66
Bexar,48029,2021,45-54,40
Bexar,48029,2021,55-64,23
Bexar,48029,2021,65+,17
Bexar,48029,2022,15-24,19
Bexar,48029,2022,25-34,77
Bexar,48029,2022,35-44,59
Bexar,48029,2022,45-54,45
Bexar,48029,2022,55-64,31
Bexar,48029,2022,65+,21
Travis,48453,2018,15-24,5
Travis,48453,2018,25-34,17
Travis,48453,2018,35-44,15
Travis,48453,2018,45-54,14
Travis,48453,2018,55-64,9
Travis,48453,2018,65+,6
Travis,48453,2019,15-24,9
Travis,48453,2019,25-34,25
Travis,48453,2019,35-44,24
Travis,48453,2019,45-54,19
Travis,48453,2019,55-64,10
Travis,48453,2019,65+,8
Travis,48453,2020,15-24,8
Travis,48453,2020,25-34,32
Travis,48453,2020,35-44,27
Travis,48453,2020,45-54,17
Travis,48453,2020,55-64,12
Travis,48453,2020,65+,8
Travis,48453,2021,15-24,7
Travis,48453,2021,25-34,33
Travis,48453,2021,35-44,32
Travis,48453,2021,45-54,20
Travis,48453,2021,55-64,14
Travis,48453,2021,65+,10
Travis,48453,2022,15-24,9
Travis,48453,2022,25-34,32
Travis,48453,2022,35-44,32
Travis,48453,2022,45-54,23
Travis,48453,2022,55-64,14
Travis,48453,2022,65+,10
Collin,48085,2018,15-24,3
Collin,48085,2018,25-34,12
Collin,48085,2018,35-44,13
Collin,48085,2018,45-54,8
Collin,48085,2018,55-64,6
Collin,48085,2018,65+,3
Collin,48085,2019,15-24,4
Collin,48085,2019,25-34,14
Collin,48085,2019,35-44,15
Collin,48085,2019,45-54,10
Collin,48085,2019,55-64,6
Collin,48085,2019,65+,3
Collin,48085,2020,15-24,6
Collin,48085,2020,25-34,21
Collin,48085,2020,35-44,18
Collin,48085,2020,45-54,11
Collin,48085,2020,55-64,8
Collin,48085,2020,65+,6
Collin,48085,2021,15-24,6
Collin,48085,2021,25-34,19
Collin,48085,2021,35-44,17
Collin,48085,2021,45-54,11
Collin,48085,2021,55-64,8
Collin,48085,2021,65+,6
Collin,48085,2022,15-24,4
Collin,48085,2022,25-34,16
Collin,48085,2022,35-44,17
Collin,48085,2022,45-54,10
Collin,48085,2022,55-64,7
Collin,48085,2022,65+,6
Hidalgo,48215,2018,15-24,2
Hidalgo,48215,2018,25-34,6
Hidalgo,48215,2018,35-44,8
Hidalgo,48215,2018,45-54,4
Hidalgo,48215,2018,55-64,4
Hidalgo,48215,2018,65+,2
Hidalgo,48215,2019,15-24,3
Hidalgo,48215,2019,25-34,11
Hidalgo,48215,2019,35-44,9
Hidalgo,48215,2019,45-54,6
Hidalgo,48215,2019,55-64,4
Hidalgo,48215,2019,65+,2
Hidalgo,48215,2020,15-24,3
Hidalgo,48215,2020,25-34,13
Hidalgo,48215,2020,35-44,13
Hidalgo,48215,2020,45-54,9
Hidalgo,48215,2020,55-64,6
Hidalgo,48215,2020,65+,3
Hidalgo,48215,2021,15-24,3
Hidalgo,48215,2021,25-34,13
Hidalgo,48215,2021,35-44,13
Hidalgo,48215,2021,45-54,9
Hidalgo,48215,2021,55-64,5
Hidalgo,48215,2021,65+,3
Hidalgo,48215,2022,15-24,3
Hidalgo,48215,2022,25-34,10
Hidalgo,48215,2022,35-44,10
Hidalgo,48215,2022,45-54,8
Hidalgo,48215,2022,55-64,5
Hidalgo,48215,2022,65+,3
Denton,48121,2018,15-24,3
Denton,48121,2018,25-34,11
Denton,48121,2018,35-44,10
Denton,48121,2018,45-54,9
Denton,48121,2018,55-64,4
Denton,48121,2018,65+,4
Denton,48121,2019,15-24,5
Denton,48121,2019,25-34,16
Denton,48121,2019,35-44,14
Denton,48121,2019,45-54,11
Denton,48121,2019,55-64,7
Denton,48121,2019,65+,4
Denton,48121,2020,15-24,6
Denton,48121,2020,25-34,18
Denton,48121,2020,35-44,16
Denton,48121,2020,45-54,10
Denton,48121,2020,55-64,8
Denton,48121,2020,65+,5
Denton,48121,2021,15-24,6
Denton,48121,2021,25-34,19
Denton,48121,2021,35-44,23
Denton,48121,2021,45-54,13
Denton,48121,2021,55-64,9
Denton,48121,2021,65+,5
