county,fips,year,drug_type,opioid_deaths
Harris,48201,2018,Fentanyl/Synthetic,124
Harris,48201,2018,Prescription Opioids,106
Harris,48201,2018,Heroin,83
Harris,48201,2018,Other/Multiple Opioids,27
Harris,48201,2019,Fentanyl/Synthetic,187
Harris,48201,2019,Prescription Opioids,97
Harris,48201,2019,Heroin,67
Harris,48201,2019,Other/Multiple Opioids,27
Harris,48201,2020,Fentanyl/Synthetic,234
Harris,48201,2020,Prescription Opioids,108
Harris,48201,2020,Heroin,63
Harris,48201,2020,Other/Multiple Opioids,36
Harris,48201,2021,Fentanyl/Synthetic,371
Harris,48201,2021,Prescription Opioids,101
Harris,48201,2021,Heroin,59
Harris,48201,2021,Other/Multiple Opioids,37
Harris,48201,2022,Fentanyl/Synthetic,307
Harris,48201,2022,Prescription Opioids,72
Harris,48201,2022,Heroin,37
Harris,48201,2022,Other/Multiple Opioids,36
Dallas,48113,2018,Fentanyl/Synthetic,84
Dallas,48113,2018,Prescription Opioids,66
Dallas,48113,2018,Heroin,42
Dallas,48113,2018,Other/Multiple Opioids,19
Dallas,48113,2019,Fentanyl/Synthetic,130
Dallas,48113,2019,Prescription Opioids,78
Dallas,48113,2019,Heroin,43
Dallas,48113,2019,Other/Multiple Opioids,21
Dallas,48113,2020,Fentanyl/Synthetic,156
Dallas,48113,2020,Prescription Opioids,57
Dallas,48113,2020,Heroin,31
Dallas,48113,2020,Other/Multiple Opioids,21
Dallas,48113,2021,Fentanyl/Synthetic,205
Dallas,48113,2021,Prescription Opioids,52
Dallas,48113,2021,Heroin,25
Dallas,48113,2021,Other/Multiple Opioids,22
Dallas,48113,2022,Fentanyl/Synthetic,191
Dallas,48113,2022,Prescription Opioids,50
Dallas,48113,2022,Heroin,23
Dallas,48113,2022,Other/Multiple Opioids,21
Tarrant,48439,2018,Fentanyl/Synthetic,60
Tarrant,48439,2018,Prescription Opioids,46
Tarrant,48439,2018,Heroin,38
Tarrant,48439,2018,Other/Multiple Opioids,13
Tarrant,48439,2019,Fentanyl/Synthetic,87
Tarrant,48439,2019,Prescription Opioids,58
Tarrant,48439,2019,Heroin,33
Tarrant,48439,2019,Other/Multiple Opioids,16
