county,fips,year,gender,opioid_deaths,crude_rate_100k
Harris,48201,2018,Male,233,10.1
Harris,48201,2018,Female,87,3.6
Harris,48201,2019,Male,310,13.4
Harris,48201,2019,Female,109,4.5
Harris,48201,2020,Male,331,14.3
Harris,48201,2020,Female,157,6.5
Harris,48201,2021,Male,373,16.1
Harris,48201,2021,Female,160,6.6
Harris,48201,2022,Male,349,15.1
Harris,48201,2022,Female,165,6.8
Dallas,48113,2018,Male,136,10.6
Dallas,48113,2018,Female,54,4.1
Dallas,48113,2019,Male,178,13.9
Dallas,48113,2019,Female,84,6.3
Dallas,48113,2020,Male,226,17.6
Dallas,48113,2020,Female,84,6.3
Dallas,48113,2021,Male,210,16.4
Dallas,48113,2021,Female,95,7.1
Dallas,48113,2022,Male,197,15.4
Dallas,48113,2022,Female,94,7.1
Tarrant,48439,2018,Male,121,11.7
Tarrant,48439,2018,Female,45,4.2
Tarrant,48439,2019,Male,143,13.8
Tarrant,48439,2019,Female,53,4.9
Tarrant,48439,2020,Male,154,14.9
Tarrant,48439,2020,Female,70,6.5
Tarrant,48439,2021,Male,171,16.5
Tarrant,48439,2021,Female,61,5.7
Tarrant,48439,2022,Male,158,15.3
Tarrant,48439,2022,Female,69,6.4
Bexar,48029,2018,Male,109,11.1
Bexar,48029,2018,Female,39,3.8
Bexar,48029,2019,Male,119,12.1
Bexar,48029,2019,Female,57,5.6
Bexar,48029,2020,Male,162,16.5
Bexar,48029,2020,Female,60,5.9
Bexar,48029,2021,Male,187,19.0
Bexar,48029,2021,Female,89,8.7
Bexar,48029,2022,Male,165,16.8
Bexar,48029,2022,Female,79,7.7
Travis,48453,2018,Male,61,9.6
Travis,48453,2018,Female,27,4.1
Travis,48453,2019,Male,72,11.4
Travis,48453,2019,Female,30,4.6
Travis,48453,2020,Male,88,13.9
Travis,48453,2020,Female,31,4.7
Travis,48453,2021,Male,84,13.3
Travis,48453,2021,Female,38,5.8
Travis,48453,2022,Male,91,14.4
Travis,48453,2022,Female,40,6.1
Collin,48085,2018,Male,29,5.6
Collin,48085,2018,Female,12,2.2
Collin,48085,2019,Male,37,7.1
Collin,48085,2019,Female,16,2.9
Collin,48085,2020,Male,39,7.5
Collin,48085,2020,Female,20,3.7
Collin,48085,2021,Male,48,9.2
Collin,48085,2021,Female,23,4.2
Collin,48085,2022,Male,49,9.4
Collin,48085,2022,Female,21,3.9
Hidalgo,48215,2018,Male,18,4.2
Hidalgo,48215,2018,Female,11,2.5
Hidalgo,48215,2019,Male,24,5.6
Hidalgo,48215,2019,Female,14,3.2
Hidalgo,48215,2020,Male,24,5.6
Hidalgo,48215,2020,Female,14,3.2
Hidalgo,48215,2021,Male,32,7.5
Hidalgo,48215,2021,Female,18,4.1
Hidalgo,48215,2022,Male,31,7.3
Hidalgo,48215,2022,Female,17,3.8
Denton,48121,2018,Male,31,7.0
Denton,48121,2018,Female,14,3.0
Denton,48121,2019,Male,41,9.2
Denton,48121,2019,Female,17,3.7
Denton,48121,2020,Male,42,9.5
Denton,48121,2020,Female,20,4.3
Denton,48121,2021,Male,46,10.4
Denton,48121,2021,Female,18,3.9
Denton,48121,2022,Male,51,11.5
Denton,48121,2022,Female,22,4.8
Fort Bend,48157,2018,Male,28,6.9
Fort Bend,48157,2018,Female,11,2.6
Fort Bend,48157,2019,Male,31,7.7
Fort Bend,48157,2019,Female,14,3.3
Fort Bend,48157,2020,Male,40,9.9
Fort Bend,48157,2020,Female,16,3.8
Fort Bend,48157,2021,Male,42,10.4
Fort Bend,48157,2021,Female,22,5.2
Fort Bend,48157,2022,Male,44,10.9
Fort Bend,48157,2022,Female,16,3.8
Montgomery,48339,2018,Male,29,9.5
Montgomery,48339,2018,Female,15,4.7
Montgomery,48339,2019,Male,36,11.8
Montgomery,48339,2019,Female,17,5.4
Montgomery,48339,2020,Male,53,17.4
Montgomery,48339,2020,Female,22,7.0
Montgomery,48339,2021,Male,57,18.7
Montgomery,48339,2021,Female,27,8.5
Montgomery,48339,2022,Male,57,18.7
Montgomery,48339,2022,Female,21,6.6
Williamson,48491,2018,Male,25,7.4
Williamson,48491,2018,Female,11,3.1
Williamson,48491,2019,Male,27,8.0
Williamson,48491,2019,Female,13,3.7
Williamson,48491,2020,Male,37,10.9
Williamson,48491,2020,Female,16,4.5
Williamson,48491,2021,Male,40,11.8
Williamson,48491,2021,Female,20,5.7
Williamson,48491,2022,Male,34,10.0
Williamson,48491,2022,Female,13,3.7
Cameron,48061,2018,Male,9,4.3
Cameron,48061,2018,Female,5,2.3
Cameron,48061,2019,Male,10,4.8
Cameron,48061,2019,Female,6,2.8
Cameron,48061,2020,Male,11,5.3
Cameron,48061,2020,Female,6,2.8
Cameron,48061,2021,Male,14,6.8
Cameron,48061,2021,Female,8,3.7
Cameron,48061,2022,Male,13,6.3
Cameron,48061,2022,Female,8,3.7
Nueces,48355,2018,Male,22,13.1
Nueces,48355,2018,Female,9,5.1
Nueces,48355,2019,Male,28,16.7
Nueces,48355,2019,Female,14,8.0
Nueces,48355,2020,Male,34,20.2
Nueces,48355,2020,Female,12,6.9
Nueces,48355,2021,Male,39,23.2
Nueces,48355,2021,Female,15,8.6
Nueces,48355,2022,Male,37,22.0
Nueces,48355,2022,Female,17,9.7
El Paso,48141,2018,Male,23,5.4
El Paso,48141,2018,Female,13,2.9
El Paso,48141,2019,Male,33,7.8
El Paso,48141,2019,Female,19,4.3
El Paso,48141,2020,Male,40,9.4
El Paso,48141,2020,Female,22,5.0
El Paso,48141,2021,Male,40,9.4
El Paso,48141,2021,Female,23,5.2
El Paso,48141,2022,Male,37,8.7
El Paso,48141,2022,Female,21,4.8
Brazoria,48039,2018,Male,23,12.3
Brazoria,48039,2018,Female,11,5.7
Brazoria,48039,2019,Male,23,12.3
Brazoria,48039,2019,Female,12,6.2
Brazoria,48039,2020,Male,30,16.1
Brazoria,48039,2020,Female,12,6.2
Brazoria,48039,2021,Male,37,19.8
Brazoria,48039,2021,Female,19,9.8
Brazoria,48039,2022,Male,34,18.2
Brazoria,48039,2022,Female,13,6.7
Galveston,48167,2018,Male,23,13.7
Galveston,48167,2018,Female,10,5.7
Galveston,48167,2019,Male,28,16.7
Galveston,48167,2019,Female,13,7.5
Galveston,48167,2020,Male,36,21.5
Galveston,48167,2020,Female,16,9.2
Galveston,48167,2021,Male,38,22.7
Galveston,48167,2021,Female,17,9.7
Galveston,48167,2022,Male,37,22.1
Galveston,48167,2022,Female,16,9.2
Lubbock,48303,2018,Male,20,12.8
Lubbock,48303,2018,Female,8,4.9
Lubbock,48303,2019,Male,26,16.6
Lubbock,48303,2019,Female,10,6.1
Lubbock,48303,2020,Male,24,15.3
Lubbock,48303,2020,Female,13,8.0
Lubbock,48303,2021,Male,29,18.5
Lubbock,48303,2021,Female,12,7.4
Lubbock,48303,2022,Male,30,19.1
Lubbock,48303,2022,Female,13,8.0
Jefferson,48245,2018,Male,19,15.4
Jefferson,48245,2018,Female,9,7.0
Jefferson,48245,2019,Male,24,19.4
Jefferson,48245,2019,Female,11,8.5
Jefferson,48245,2020,Male,28,22.6
Jefferson,48245,2020,Female,14,10.9
Jefferson,48245,2021,Male,34,27.5
Jefferson,48245,2021,Female,16,12.4
Jefferson,48245,2022,Male,29,23.5
Jefferson,48245,2022,Female,13,10.1
Bell,48027,2018,Male,19,10.7
Bell,48027,2018,Female,8,4.3
Bell,48027,2019,Male,25,14.1
Bell,48027,2019,Female,10,5.4
Bell,48027,2020,Male,28,15.7
Bell,48027,2020,Female,13,7.0
Bell,48027,2021,Male,32,18.0
Bell,48027,2021,Female,13,7.0
Bell,48027,2022,Male,28,15.7
Bell,48027,2022,Female,14,7.6
Webb,48479,2018,Male,5,3.7
Webb,48479,2018,Female,3,2.1
Webb,48479,2019,Male,6,4.4
Webb,48479,2019,Female,4,2.8
Webb,48479,2020,Male,7,5.2
Webb,48479,2020,Female,4,2.8
Webb,48479,2021,Male,8,5.9
Webb,48479,2021,Female,5,3.5
Webb,48479,2022,Male,9,6.6
Webb,48479,2022,Female,6,4.3
